dosya_adi,feature1,feature2,sinif,etiket,tam_yol,kaynak_id,kaynak_grup,augmentasyon_mu
aug_NonDemented_0.png,0.0,0.0,NonDemented,0,/tmp/aug_NonDemented_0.png,aug_NonDemented_0,NonDemented::aug_NonDemented_0,False
aug_NonDemented_1.png,1.0,1.0,NonDemented,0,/tmp/aug_NonDemented_1.png,aug_NonDemented_1,NonDemented::aug_NonDemented_1,False
aug_NonDemented_3.png,3.0,3.0,NonDemented,0,/tmp/aug_NonDemented_3.png,aug_NonDemented_3,NonDemented::aug_NonDemented_3,False
aug_VeryMildDemented_0.png,10.0,100.0,VeryMildDemented,1,/tmp/aug_VeryMildDemented_0.png,aug_VeryMildDemented_0,VeryMildDemented::aug_VeryMildDemented_0,False
aug_VeryMildDemented_1.png,11.0,101.0,VeryMildDemented,1,/tmp/aug_VeryMildDemented_1.png,aug_VeryMildDemented_1,VeryMildDemented::aug_VeryMildDemented_1,False
aug_VeryMildDemented_3.png,13.0,103.0,VeryMildDemented,1,/tmp/aug_VeryMildDemented_3.png,aug_VeryMildDemented_3,VeryMildDemented::aug_VeryMildDemented_3,False
aug_MildDemented_0.png,20.0,200.0,MildDemented,2,/tmp/aug_MildDemented_0.png,aug_MildDemented_0,MildDemented::aug_MildDemented_0,False
aug_MildDemented_1.png,21.0,201.0,MildDemented,2,/tmp/aug_MildDemented_1.png,aug_MildDemented_1,MildDemented::aug_MildDemented_1,False
aug_MildDemented_3.png,23.0,203.0,MildDemented,2,/tmp/aug_MildDemented_3.png,aug_MildDemented_3,MildDemented::aug_MildDemented_3,False
aug_ModerateDemented_0.png,30.0,300.0,ModerateDemented,3,/tmp/aug_ModerateDemented_0.png,aug_ModerateDemented_0,ModerateDemented::aug_ModerateDemented_0,False
aug_ModerateDemented_1.png,31.0,301.0,ModerateDemented,3,/tmp/aug_ModerateDemented_1.png,aug_ModerateDemented_1,ModerateDemented::aug_ModerateDemented_1,False
aug_ModerateDemented_3.png,33.0,303.0,ModerateDemented,3,/tmp/aug_ModerateDemented_3.png,aug_ModerateDemented_3,ModerateDemented::aug_ModerateDemented_3,False
